Home,Away,home_gl,home_gl_prob,away_gl,away_gl_prob,home_ml,away_ml,tie_ml,total,over,under
Liverpool,Wolverhampton,-1.5,0.523809524,1.5,0.545454545,0.769053118,0.111111111,0.2,2.5,0.487804878,0.574468085
Watford,West Ham United,0.5,0.534883721,-0.5,0.534883721,0.465116279,0.333333333,0.281690141,3,0.512195122,0.555555556
Tottenham Hotspur,Everton,-0.25,0.534883721,0.25,0.465116279,0.526066351,0.263157895,0.285714286,3,0.574468085,0.487804878
Southampton,Huddersfield Town,-1,0.487804878,1,0.574468085,0.740932642,0.133333333,0.212765957,2.5,0.487804878,0.574468085
Burnley,Arsenal,0,0.512195122,0,0.555555556,0.322580645,0.476190476,0.281690141,2.5,0.523809524,0.545454545
Leicester City,Chelsea,1.25,0.555555556,-1.25,0.512195122,0.37037037,0.408163265,0.294117647,2.75,0.545454545,0.523809524
Manchester United,Cardiff City,-1.25,0.487804878,1.25,0.574468085,0.8,0.105263158,0.166666667,3,0.545454545,0.523809524
Crystal Palace,AFC Bournemouth,1.5,0.555555556,-1.5,0.512195122,0.541284404,0.266666667,0.266666667,2.75,0.545454545,0.523809524
Fulham,Newcastle,-1.25,0.555555556,1.25,0.512195122,0.4,0.384615385,0.294117647,2.75,0.523809524,0.545454545
Brighton and Hove Albion,Manchester City,-2.25,0.555555556,2.25,0.512195122,,,,3.5,0.545454545,0.523809524
