Home,Away,home_gl,home_gl_prob,away_gl,away_gl_prob,home_ml,away_ml,tie_ml,total,over,under
SC Freiburg,1. FC NÃ¼rnberg,-0.75,0.545454545,0.75,0.523809524,0.588477366,0.23255814,0.256410256,3,0.534883721,0.534883721
Werder Bremen,RB Leipzig,0,0.534883721,0,0.534883721,0.408163265,0.408163265,0.266666667,3.25,0.574468085,0.487804878
Mainz,TSG Hoffenheim,0.75,0.523809524,-0.75,0.545454545,0.27027027,0.588477366,0.224719101,4,0.545454545,0.523809524
Hertha Berlin,Bayer Leverkusen,1.25,0.523809524,-1.25,0.545454545,0.173913043,0.689440994,0.210526316,3.5,0.574468085,0.487804878
Bayern Munich,Eintracht Frankfurt,-1.75,0.574468085,1.75,0.487804878,0.8,0.102564103,0.173913043,3.75,0.545454545,0.523809524
VfL Wolfsburg,FC Augsburg,-1.25,0.574468085,1.25,0.487804878,0.740932642,0.16,0.19047619,3.75,0.512195122,0.555555556
Borussia Monchengladbach,Borussia Dortmund,0.25,0.555555556,-0.25,0.512195122,0.363636364,0.465116279,0.253164557,3.5,0.534883721,0.534883721
Schalke 04,VfB Stuttgart,-0.75,0.545454545,0.75,0.523809524,0.588477366,0.23255814,0.253164557,3,0.574468085,0.487804878
Fortuna DÃ¼sseldorf,Hannover 96,-1.25,0.574468085,1.25,0.487804878,0.714285714,0.16,0.2,3.5,0.574468085,0.487804878
